SMILES,P(Act)
COc1ccc2c(c1)c(C)c(CCC(=O)O)n2C(=O)c1ccc(Cl)cc1,9.823908741
N#Cc1ccc(C(O)(C2CC2)C(F)(F)F)c(Cl)c1Cl,9.7000571
CC1(C)NC(=S)N(c2ccc(C#N)c(Cl)c2)C1=O,9.698970004
Cc1c(C(O)(c2ccco2)C(F)(F)F)ccc(C#N)c1C(F)(F)F,9.599980365
Cc1c(N[C@@H]2CCC[C@]2(C)O)ccc(C#N)c1Cl,9.443818153
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,9.22184875
CO[C@@H]1C(c2ccc(C#N)c(Cl)c2C)=NN2CC[C@H](O)[C@@H]12,9.22184875
CCCc1ncc(C[n+]2ccccc2C)c(N)n1,9.15490196
CCOC(=O)c1ccc(N)cc1,9.15490196
O=C1[C@H]2C3C=CC(C3)[C@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,9.124938737
O=c1cc(Br)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1,9.124938737
CN1C(=S)N(c2ccc(Cl)c(Cl)c2)C(=O)[C@@]1(C)c1ccc(O)cc1,9.096910013
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,9.045757491
O=C1[C@H]2[C@@H]3CC[C@@H](C3)N2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,9
Cc1cc(=O)[nH]c2ccc(N(CC(F)(F)F)CC(F)(F)F)cc12,8.958607315
C[C@H]1[C@@H](O)CCN1c1ccc(C#N)c2ccccc12,8.911863911
Cc1c(N[C@@H]2CCC[C@@]2(C)O)ccc(C#N)c1Cl,8.898081166
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,8.889073758
CCCCCCCC/C=C\CCCCCCCC(=O)OC,8.886056648
C[C@H]1[C@H](O)CCN1c1ccc(C#N)c2ccccc12,8.866461092
CCCCN(CCCC)c1ccc(/C=C2\C(=O)ON=C2c2ccccc2)cc1,8.853871964
NP(N)(=O)NC(=O)c1ccc(F)cc1,8.823908741
CCOc1nc(NC)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)n1,8.795880017
CC[C@H]1[C@@H]2[C@H](O)CCN2C(=O)N1c1ccc(C#N)c(Cl)c1C,8.782516056
CC(C)[C@H]1CCCN1c1ccc(C#N)c2ccccc12,8.769551079
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,8.769551079
Cc1c(N2C(=O)N3CC[C@H](O)[C@H]3[C@@H]2C(F)(F)F)ccc(C#N)c1Cl,8.769551079
Cn1c(=O)c2[nH]cnc2n(C)c1=O,8.769551079
C[C@](O)(COc1ccc(C#N)cc1Br)C(=O)N1CCc2c(C#N)cccc21,8.75531064
Cc1c(/N=C2\N(C)C[C@@H]3[C@H](O)CCN23)ccc(C#N)c1Cl,8.721246399
N#Cc1ccc(C(O)(c2nccs2)C(F)(F)F)cc1C(F)(F)F,8.7000571
C=CCN1C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)C1(C)c1ccc(O)cc1,8.698970004
CC(O)CN(CC(C)O)CC(C)O,8.698970004
CCCCO[PH](=O)OCCCC,8.698970004
N#Cc1ccc(N2C(=O)[C@@H]3[C@H](O)CCN3C2=O)c(F)c1Cl,8.698970004
CC(C)NCC(O)c1ccc2ccccc2c1,8.677780705
COc1cc(N2C(=O)N(C)C(C)(c3ccc(O)cc3)C2=O)ccc1C#N,8.677780705
O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21,8.677780705
Cc1c(N2C3CCC2CC(C)(O)C3)ccc(C#N)c1Cl,8.675717545
CC(C)OC(=O)Nc1ccccc1,8.657577319
CC1=C2[C@H](/C=C(\C)C(=O)O)CC[C@@H](C)[C@H]2[C@H](O)C1,8.657577319
CCC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,8.619788758
O=C(O)/C=C/c1ccc(/C=C/C(=O)O)cc1,8.602059991
N#Cc1ccc(C(O)(c2ccc(Cl)o2)C(F)(F)F)cc1C(F)(F)F,8.599980365
Cc1c(N2C(=O)N3CC[C@H](O)[C@H]3[C@@H]2C)ccc(C#N)c1Cl,8.558043162
CC(C)CC(O)(c1ccc(C#N)c(Cl)c1Cl)C(F)(F)F,8.500038134
CCCCOC(=O)/C=C\C(=O)OCCCC,8.494850022
O=c1cc(C(F)(F)F)c2cc3c(cc2[nH]1)OC[C@@H](c1ccccc1)N3CC(F)(F)F,8.48148606
C[C@](O)(COc1ccc(F)cc1C#N)C(=O)N1CCc2c(C#N)cccc21,8.48087234
