SMILES,P(Act)
CCCC(CCC)C(=O)O,3.050000019
Oc1ccccc1-c1ccccc1,3.324280851
CCCC(CC(=O)O)C1=C2O[C@H](C(C)(C)O)C[C@@]23C[C@H](CC(O)C(C)(C)O)C(C)(C)[C@@](C(=O)C(C)CC)(C1=O)C3=O,3.761953897
CCC(O)OC(O)CC,3.800000053
C[C@H](C#N)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.886056648
CC(NC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)c1ccccc1,3.908333042
C[C@H](CCC(=O)NCCc1ccccc1)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.962573502
COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1,4.045757491
CCCC(CC(=O)O)C1=C2O[C@H](C(C)(C)O)C[C@@]23C[C@H](CC=C(C)C)C(C)(C)[C@@](C(=O)C(C)CC)(C1=O)C3=O,4.124938737
CCOC(=O)C1OC1c1ccccc1,4.200000237
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,4.200000237
Cc1cccc(C(=O)O)c1,4.250000251
C/C=C/C=C/C(=O)O,4.300000202
CN(N=O)C(=N)N[N+](=O)[O-],4.300000202
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,4.300000202
Cc1cc(O)ccc1Cl,4.300000202
ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H](C[C@@H](Cl)[C@@H]3Cl)[C@@]1(Cl)C2(Cl)Cl,4.300000202
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,4.300000202
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,4.300000202
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,4.314046688
CN(CCCl)CCCl,4.324280759
Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,4.3471283
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],4.349999603
CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],4.349999603
Cc1ccccc1N,4.349999603
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,4.349999603
Oc1ccc(C2(c3ccc(O)cc3)c3ccccc3-c3ccccc32)cc1,4.349999603
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,4.349999603
CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1,4.400000186
COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,4.400000186
O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,4.400000186
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,4.400000186
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,4.418347251
CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,4.450000476
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,4.450000476
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,4.450000476
N#CSCSc1nc2ccccc2s1,4.450000476
Nc1ccc2cc3ccccc3cc2c1,4.457253599
C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,4.457585107
COc1cc([C@@H]2[C@@H](C)[C@H](C)[C@H]2c2ccc(OC(C)=O)c(OC)c2)ccc1OC(C)=O,4.468521083
O=C(OCC(COC(=O)c1ccccc1)(COC(=O)c1ccccc1)COC(=O)c1ccccc1)c1ccccc1,4.488587268
CCCOC(=O)c1ccccc1C(=O)OCCC,4.499999679
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],4.499999679
CC[Hg]Sc1ccccc1C(=O)[O-],4.507254274
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,4.524280882
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4.537194107
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,4.550000452
O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],4.550000452
O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,4.550000452
CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1,4.555489915
Nc1c2ccccc2nc2ccccc12,4.555489915
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,4.555489915
COc1cc([C@H]2O[C@@H](c3ccc(O)c(OC)c3)[C@H](C)[C@@H]2C)ccc1O,4.568636236
CC(=O)Nc1nnc(S(N)(=O)=O)s1,4.599999383
CCC(C)(C)c1ccc(O)cc1,4.599999383
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,4.599999383
CNC(=O)N(C)c1nc2ccccc2s1,4.599999383
O=C1OC(O)C(C(Cl)Cl)=C1Cl,4.599999383
O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,4.599999383
CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O,4.618556388
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,4.647593637
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,4.648915865
CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,4.650000221
CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1,4.650000221
O=C(O)c1cc(O)c(O)c(O)c1,4.650000221
O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1,4.65078563
CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,4.651002377
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,4.651002377
c1ccc(Nc2cccc3ccccc23)cc1,4.651005293
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,4.674595182
CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.696708884
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)c(Cl)c1F,4.718556407
O=C1C=C2C(=CCOC2O)O1,4.722019674
CC(C)(C)OC=O,4.749999856
CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,4.749999856
O=Cc1c(Cl)cccc1Cl,4.749999856
O=S(=O)([O-])c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)[O-])ccc23)cc1,4.749999856
O=C(O)C(Br)Br,4.772020793
COC(=O)Nc1nc2ccccc2[nH]1,4.778786654
COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)/C=C/CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.800000053
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)/C=C/CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.800000053
CCOP(=O)(SC(C)CC)N1CCSC1=O,4.800000875
Cc1cc(C(C)(C)CC(C)(C)C)ccc1OCCOCC[N+](C)(C)Cc1ccccc1,4.800000875
O=[N+]([O-])c1c2ccccc2cc2ccccc12,4.821323712
O=C(CCl)c1ccc(Cl)cc1Cl,4.849999245
O=C(O)CCc1cc(Br)c(OCc2cccc(Br)c2)c(Br)c1,4.853871964
CCCCCCCCCCCCCCCCCC(=O)[O-],4.899998417
CCCOCC(C)OCC(C)O,4.899998417
BrCC(Br)(Br)Br,4.949999402
CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)c2ccccc2C1=O,4.949999402
Oc1cc2c(cc1O)[C@H]1c3ccc(O)c(O)c3OC[C@@]1(O)C2,4.949999402
C#C[C@]1(O)CC[C@H]2C3=CCc4cc(O)ccc4[C@H]3CC[C@@]21C,5
CCOC1=CC(=O)C(Cc2ccc([N+](=O)[O-])cc2)C(C)(C)C1,5
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,5
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,5
OC(c1ccc(F)cc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1,5
O=c1cc(C(F)(F)F)c2cc3c(cc2[nH]1)OCCN3CC(F)(F)F,5.036212173
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,5.040655662
C=C1C=C(C)CC(C)(C)C1Sc1ccc([N+](=O)[O-])cc1,5.085392432
CCN1CCOc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21,5.091514981
COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)C/C=C/CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.100845671
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,5.113292182
NC1=NC(S)C2N=CNC2=N1,5.149997414
